MARKET NAME-INSTITUTION DESCRIPTION,MIC,OPERATING MIC,OPRT/SGMT,LEGAL ENTITY NAME,LEI,MARKET CATEGORY CODE,ACRONYM,ISO COUNTRY CODE (ISO 3166),CITY,COMMENTS
CITI MATCH - HK,CGMH,CGMH,OPRT,,,NSPD,,HK,HONG KONG,
CITIGROUP GLOBAL MARKETS,CGMI,CGMI,OPRT,,MBNUM2BPBDO7JBLYG310,NSPD,,US,NEW YORK,
CITIBLOC,CBLC,CGMI,SGMT,,MBNUM2BPBDO7JBLYG310,ATSS,CBLC,US,NEW YORK,CITIBLOC IS AN ATS UNDER THE OPERATING MIC CGMI
CITI CROSS,CICX,CGMI,SGMT,,6SHGI4ZSSLCXXQSBB395,ATSS,CX,US,NEW YORK,"REGISTERED ATS DARK POOL FOR EQUITIES. CITICROSS ATS CEASED OPERATIONS ON APRIL 30, 2019."
CIOI,CIOI,CGMI,SGMT,CITIGROUP GLOBAL MARKETS INC.,MBNUM2BPBDO7JBLYG310,ATSS,CIOI,US,NEW YORK,
CITIGROUP AGENCY OPTION AND EQUITIES ROUTING ENGINE,CORE,CGMI,SGMT,,,NSPD,,US,MOUNT PLEASANT,US BROKER DEALER PROVIDING AGENCY ROUTING FOR EQUITIES AND OPTIONS.
CITI LIQUIFI,LQFI,CGMI,SGMT,CITIGROUP GLOBAL MARKETS INC.,6SHGI4ZSSLCXXQSBB395,ATSS,LQFI,US,NEW YORK,LIQUIFI IS AN ATS UNDER THE OPERATING MIC CGMI
CITI-ONE,ONEC,CGMI,SGMT,CITIGROUP GLOBAL MARKETS INC.,MBNUM2BPBDO7JBLYG310,NSPD,,US,NEW YORK,
CITIGROUP GLOBAL MARKETS LIMITED,CGML,CGML,OPRT,CITIGROUP GLOBAL MARKETS LIMITED,XKZZ2JZF41MRHTR1V493,SINT,,GB,LONDON,REGISTERED MARKET FOR EQUITIES.
CITIGROUP GLOBAL MARKETS  LIMITED - EMEA LIQUIDITY HUB,CGMC,CGML,SGMT,,XKZZ2JZF41MRHTR1V493,RMKT,,GB,LONDON,REGISTERED MARKET FOR EQUITIES.
CITI MATCH - GB,CGME,CGML,SGMT,,6SHGI4ZSSLCXXQSBB395,NSPD,,GB,LONDON,CITI MATCH EMEA.
CITIGROUP GLOBAL MARKETS  LIMITED - EMEA TRADING,CGMT,CGML,SGMT,,XKZZ2JZF41MRHTR1V493,RMKT,,GB,LONDON,REGISTERED MARKET FOR EQUITIES.
CITI MATCH GB CONTRA LIQUIDITY,CGMU,CGML,SGMT,,6SHGI4ZSSLCXXQSBB395,NSPD,,GB,LONDON,
CITI MEXICO RPI (RETAIL PRICE IMPROVEMENT),CGMX,CGMX,OPRT,,,NSPD,,MX,MEXICO,
ONECHRONOS,CGXS,CGXS,OPRT,ONECHRONOS MARKETS LLC,254900L815YJ972LG694,NSPD,,US,NEW YORK,
CA CHEUVREUX,CHEV,CHEV,OPRT,,,NSPD,,GB,LONDON,
BLINK MTF,BLNK,CHEV,SGMT,,,NSPD,,GB,LONDON,"EQUITIES CROSSING, EQUITIES DARK POOL, PAN-EUROPEAN EQUITIES."
CBOE AUSTRALIA,CHIA,CHIA,OPRT,"CBOE GLOBAL MARKETS, INC.",529900RLNSGA90UPEH54,NSPD,,AU,SYDNEY,
CBOE AUSTRALIA - BIDS BLOCK TRADE VENUE,CXAB,CHIA,SGMT,"CBOE GLOBAL MARKETS, INC.",529900RLNSGA90UPEH54,RMKT,CXA BIDS BLOCK,AU,SYDNEY,CBOE AUSTRALIA - LARGE IN SCALE BIDS TRADING VENUE - BLOCK TRADES.
CBOE AUSTRALIA - LIMIT VENUE,CXAC,CHIA,SGMT,"CBOE GLOBAL MARKETS, INC.",529900RLNSGA90UPEH54,NSPD,CXA,AU,SYDNEY,CBOE AUSTRALIA LIMIT VENUE.
CBOE AUSTRALIA - ETFS,CXAE,CHIA,SGMT,"CBOE GLOBAL MARKETS, INC.",529900RLNSGA90UPEH54,NSPD,,AU,SYDNEY,
CBOE AUSTRALIA MARKET PEG (FARPOINT) VENUE,CXAF,CHIA,SGMT,"CBOE GLOBAL MARKETS, INC.",529900RLNSGA90UPEH54,NSPD,CXA,AU,SYDNEY,CBOE AUSTRALIA MARKET PEG (FARPOINT) VENUE.
CBOE AUSTRALIA - BIDS PRICE IMPROVEMENT VENUE,CXAI,CHIA,SGMT,"CBOE GLOBAL MARKETS, INC.",529900RLNSGA90UPEH54,RMKT,CXA BIDS BIDS TWPI,AU,SYDNEY,CBOE AUSTRALIA LARGE IN SCALE BIDS VENUE - TRADES WITH PRICE IMPROVEMENT.
CBOE AUSTRALIA MOC,CXAM,CHIA,SGMT,"CBOE GLOBAL MARKETS, INC.",529900RLNSGA90UPEH54,NSPD,,AU,SYDNEY,CBOE AUSTRALIA MARKET ON CLOSE VENUE.
CBOE AUSTRALIA PRIMARY PEG (NEARPOINT) VENUE,CXAN,CHIA,SGMT,"CBOE GLOBAL MARKETS, INC.",529900RLNSGA90UPEH54,NSPD,CXA,AU,SYDNEY,CBOE AUSTRALIA PRIMARY PEG (NEARPOINT) VENUE.
CBOE AUSTRALIA MID-POINT VENUE,CXAP,CHIA,SGMT,"CBOE GLOBAL MARKETS, INC.",529900RLNSGA90UPEH54,NSPD,CXA,AU,SYDNEY,CBOE AUSTRALIA MID-POINT VENUE.
CBOE AUSTRALIA - QUOTED MANAGED FUNDS,CXAQ,CHIA,SGMT,"CBOE GLOBAL MARKETS, INC.",529900RLNSGA90UPEH54,NSPD,,AU,SYDNEY,CBOE AUSTRALIA QUOTED MANAGED FUNDS.
CBOE AUSTRALIA - TRANSFERABLE CUSTODY RECEIPT MARKET,CXAR,CHIA,SGMT,"CBOE GLOBAL MARKETS, INC.",529900RLNSGA90UPEH54,NSPD,CHI-X,AU,SYDNEY,CBOE AUSTRALIA TCR MARKET.
CBOE AUSTRALIA VWAP,CXAV,CHIA,SGMT,"CBOE GLOBAL MARKETS, INC.",529900RLNSGA90UPEH54,NSPD,,AU,SYDNEY,CBOE AUSTRALIA VWAP VENUE.
CBOE AUSTRALIA - WARRANTS,CXAW,CHIA,SGMT,"CBOE GLOBAL MARKETS, INC.",529900RLNSGA90UPEH54,NSPD,CXA,AU,SYDNEY,CBOE AUSTRALIA WARRANTS.
CHI-X CANADA ATS,CHIC,CHIC,OPRT,,,ATSS,,CA,TORONTO,MARKET MODEL FOCUSED ON EQUAL OPPORTUNITY TRADING AND MARKET-LEVEL INNOVATION TO DRIVE GROWTH IN THE CANADIAN EQUITY MARKET
CX2,XCX2,CHIC,SGMT,,,NSPD,,CA,TORONTO,REGISTERED MARKET FOR EQUITIES
CHI-EAST,CHIE,CHIE,OPRT,,,NSPD,,SG,SINGAPORE,"EXCHANGE-BACKED NON DISPLAY VENUE IN ASIA, FOR SECURITIES LISTED IN AUSTRALIA, HONG KONG, JAPAN AND SINGAPORE."
CBOE JAPAN - ALPHA,CHIJ,CHIJ,OPRT,CBOE JAPAN LIMITED,,RMOS,,JP,TOKYO,"MARKET FOR JAPANESE EQUITIES AND ETF, ELECTRONIC TRADING PLATFORM."
CBOE JAPAN  - SELECT,CHIS,CHIJ,SGMT,CBOE JAPAN LIMITED,,RMOS,,JP,TOKYO,REGISTERED MARKET FOR EQUITIES
CBOE JAPAN - MATCH,CHIV,CHIJ,SGMT,CBOE JAPAN LIMITED,,RMOS,,JP,TOKYO,ORDER MATCHING SERVICE AT PRE-DEFINED PRICE LEVELS
CBOE JAPAN - KAI-X,KAIX,CHIJ,SGMT,CBOE JAPAN LIMITED,,RMOS,,JP,TOKYO,PURELY BROKER NEUTRAL CROSSING POOL FOR JAPANESE EQUITIES.
CANADIAN IMPERIAL BANK OF COMMERCE,CIBC,CIBC,OPRT,,2IGI19DL77OX0HC3ZE78,SINT,CIBC,GB,LONDON,SYSTEMATIC INTERNALISER.
CIB BANK,CIBH,CIBH,OPRT,,549300MSY5NIVC0BME80,SINT,,HU,BUDAPEST,SYSTEMATIC INTERNALISER FOR HUNGARIAN GMT BONDS.
CIBC WORLD MARKETS PLC,CIBP,CIBP,OPRT,,BVRCO19C4GKNSAXXHE82,SINT,CIBC WM PLC,GB,LONDON,SYSTEMATIC INTERNALISER.
LIQUIDITY HUB JAPAN,CILH,CILH,OPRT,CITIGROUP GLOBAL MARKETS JAPAN INC.,PKVU22HMQQ0KHUAQDH05,OTHR,LH,JP,TOKYO,LIQUIDITY HUB (JAPAN).
CIMD S.V. S.A. - OTF,CIMD,CIMD,OPRT,,529900MLKOEV3XDRCP63,OTFS,,ES,MADRID,ORGANISED TRADING FACILITY.
CIMD S.V. S.A. - APPROVED PUBLICATION ARRANGEMENT,CIMA,CIMD,SGMT,,529900MLKOEV3XDRCP63,APPA,,ES,MADRID,APPROVED PUBLICATION ARRANGEMENT.
CIMD S.V. S.A. - OTF FOR BONDS,CIMB,CIMD,SGMT,,529900MLKOEV3XDRCP63,OTFS,,ES,MADRID,ORGANISED TRADING FACILITY FOR BONDS INSTRUMENTS.
CIMD S.V. S.A. - OTF FOR ENERGY DERIVATIVES,CIME,CIMD,SGMT,,529900MLKOEV3XDRCP63,OTFS,,ES,MADRID,ORGANISED TRADING FACILITY FOR ENERGY DERIVATIVES INSTRUMENTS.
CIMD S.V. S.A. - OTF FOR DERIVATIVES,CIMV,CIMD,SGMT,,529900MLKOEV3XDRCP63,OTFS,,ES,MADRID,ORGANISED TRADING FACILITY FOR DERIVATIVES INSTRUMENTS.
CITI MATCH - JP,CITX,CITX,OPRT,CITIGROUP GLOBAL MARKETS JAPAN INC.,PKVU22HMQQ0KHUAQDH05,NSPD,CM,JP,TOKYO,CITI DARKPOOL (JAPAN).
CITI DARK,CITD,CITX,SGMT,,,NSPD,,JP,TOKYO,DARK POOL.
CLSA AUSTRALIA - DARK,CLAU,CLAU,OPRT,CLSA AUSTRALIA PTY LTD,213800B9W4D1EISCLP26,NSPD,,AU,SYDNEY,DARK POOL.
CLSA HONG KONG - DARK,CLHK,CLHK,OPRT,,213800OZSOO4CYFYIW32,NSPD,,HK,HONG KONG,DARK POOL.
CLSA JAPAN - DARK,CLJP,CLJP,OPRT,,353800X5IPPFD6V3IM19,NSPD,,JP,TOKYO,DARK POOL.
CLIMEX,CLMX,CLMX,OPRT,,,NSPD,,NL,UTRECHT,MARKET FOR TRADING AND AUCTIONING ENVIRONMENTAL COMMODITIES AND ENERGY CONTRACTS
CLSA PHILIPPINES - DARK,CLPH,CLPH,OPRT,,2138009SZ4USUGP1IM38,NSPD,,PH,MANILA,DARK POOL.
CLEAR STREET,CLST,CLST,OPRT,,549300YFSMTHTGWBJ648,NSPD,CLST,US,NEW YORK,
EEX ASIA PTE. LTD.,CLTD,CLTD,OPRT,EEX ASIA PTE. LTD.,549300SCP8DO74JJEH77,RMOS,,SG,SINGAPORE,FULLY INTEGRATED FUTURES EXECUTION PLATFORM REGULATED BY THE MONETARY AUTHORITY OF SINGAPORE AS A RMO). IT ALSO  OFFERS AN ELECTRONIC TRADING PLATFORM FOR OTC CLEARED COMMODITY SWAPS WHICH IS FULLY INTEGRATED TO PARTNER CLEARING HOUSES.
VERTO MTF,CLVE,CLVE,OPRT,,2138003PXLT3ZCM8S325,MLTF,,GB,LONDON,MULTILATERAL TRADING FACILITY.
CREDIT INDUSTRIEL ET COMMERCIAL,CMCI,CMCI,OPRT,,N4JDFKKH2FTD8RKFXO39,SINT,CIC,FR,PARIS,SYSTEMATIC INTERNALISER.
CMC MARKETS UK PLC,CMCM,CMCM,OPRT,CMC MARKETS UK PLC,213800IU529ADVZ1GL50,SINT,,GB,LONDON,
CME  EUROPE,CMEE,CMEE,OPRT,CME CLEARING EUROPE LIMITED,6SI7IOVECKBHVYBTB459,NSPD,CME,GB,LONDON,
CME CLEARING EUROPE,CMEC,CMEE,SGMT,CME CLEARING EUROPE LIMITED,6SI7IOVECKBHVYBTB459,NSPD,CME,GB,LONDON,EUROPEAN CLEARING HOUSE
CME EUROPE - DERIVATIVES,CMED,CMEE,SGMT,,213800LX2GUMWWG1LS05,NSPD,CME,GB,LONDON,CME EUROPE TRADING PLATFORM
"CLEAR MARKETS JAPAN, INC.",CMET,CMET,OPRT,,549300M58KHF8C3XX029,NSPD,CM ETP,JP,TOKYO,"CLEAR MARKETS JAPAN, INC. OFFERS ELECTRONIC TRADING SERVICES FOR BOTH CLEARED AND NON-CLEARED SWAPS IN JAPAN."
CLEAR MARKETS EUROPE LIMITED,CMMT,CMMT,OPRT,CLEAR MARKETS EUROPE LIMITED,549300S1C03GIXLRSW61,NSPD,CM MTF,GB,LONDON,MTF REGISTERED SWAP EXECUTION FACILITY.
"CLEAR MARKETS NORTH AMERICA, INC.",CMSF,CMSF,OPRT,,549300DEFONS2ZLZSD17,NSPD,CM SEF,US,CHARLOTTE,CFTC REGISTERED SWAP EXECUTION FACILITY
CNODE,CNOD,CNOD,OPRT,,984500AE7138D1559A23,NSPD,CNODE,SG,SINGAPORE,MULTI-ASSET ECN.
CARNEGIE AS,CNSI,CNSI,OPRT,,5967007LIEEXZX57BC18,SINT,CAR,NO,OSLO,SYSTEMATIC INTERNALISER.
LA COTE ALPHA,COAL,COAL,OPRT,,,NSPD,,FR,PARIS,SOURCE OF PRICES FOR INVESTMENT FUNDS.
CODA MARKETS - MICRO AND BLOCK,CODA,CODA,OPRT,,,ATSS,CODA,US,GLENVIEW,ON-DEMAND AUCTION BASED ALTERNATIVE TRADING SYSTEM (DARK) OFFERING TWO AUCTION TYPES.
"COMHAR CAPITAL MARKETS, LLC",COHR,COHR,OPRT,,54930046NSEINIAD0O74,NSPD,,US,CHICAGO,
COMMERG LTD.,COMG,COMG,OPRT,,315700KTHVWPD78RED38,NSPD,,MT,SLIEMA,ELECTRONIC TRADING PLATFORM FOR ENERGY TRACKING CERTIFICATES.
COMMERG,COMM,COMM,OPRT,,724500BX0J5JF3H6UJ31,NSPD,,NL,AMSTERDAM,
CONCORDE SECURITIES LTD.,CONC,CONC,OPRT,,52990074UR5JKVFY4V57,SINT,,HU,BUDAPEST,SYSTEMATIC INTERNALISER.
BMO CAPITAL MARKETS - CAD OTC TRADES,COTC,COTC,OPRT,,L64HM9LHPDOS1B9HJC68,NSPD,,CA,TORONTO,OVER THE COUNTER TRADING OF CAD EQUITY.
"CLEARPOOL EXECUTION SERVICES, LLC",CPGX,CPGX,OPRT,,549300U614BWU622VY96,NSPD,,US,NEW YORK,ELECTRONIC TRADING PLATFORM.
"CLEARPOOL EXECUTION SERVICES, LLC - NATURAL LIQUIDITY ALLIANCE",NLAX,CPGX,SGMT,,549300U614BWU622VY96,NSPD,,US,NEW YORK,ELECTRONIC TRADING PLATFORM.
CAPTIN,CPTX,CPTX,OPRT,,7245003KABYX7ZTSTW42,MLTF,,NL,AMSTERDAM,MULTILATERAL TRADING FACILITY FOR TRADING IN UNLISTED COMPANIES AND EMPLOYEE OWNERSHIP SERVICES.
CLIMATE TRUST,CRBX,CRBX,OPRT,CARBON TRADE AG,64884LEV4J4S5TJ72921,OTHR,,CH,ZUG,
COREDEAL MTS,CRDL,CRDL,OPRT,,,NSPD,,GB,LONDON,DELETED AT THE REQUEST OF MTS GROUP.
CREDIT SUISSE (US),CRED,CRED,OPRT,,EXD7DEVFDH4HOFFQ7349,NSPD,,US,NEW YORK,
CREDIT SUISSE AES CROSSFINDER,CAES,CRED,SGMT,,,ATSS,,US,NEW YORK,REGISTERED ATS
CREDIT SUISSE CLOSEX,CSCL,CRED,SGMT,,1V8Y6QCX6YMJ2OELII46,NSPD,,US,NEW YORK,
CREDIT SUISSE LIGHT POOL,CSLP,CRED,SGMT,CREDIT SUISSE SECURITIES (USA) LLC,549300506SI9CRFV9Z86,NSPD,,US,NEW YORK,EQUITIES ELECTRONIC TRADING PLATFORM
CREDIT SUISSE VWAPX,CSVW,CRED,SGMT,,1V8Y6QCX6YMJ2OELII46,NSPD,,US,NEW YORK,
CREDEM BANCA,CREM,CREM,OPRT,,8156004B244AA70DE787,SINT,CREDEM SI,IT,REGGIO EMILIA,SYSTEMATIC INTERNALISER FOR BONDS.
CRYEX - FX AND DIGITAL CURRENCIES,CRYD,CRYD,OPRT,,,NSPD,,SE,STOCKHOLM,
CRYPTO FACILITIES,CRYP,CRYP,OPRT,CRYPTO FACILITIES LTD,549300S18I523MZORK73,CASP,CF,GB,LONDON,DIGITAL ASSETS TRADING PLATFORM.
CRYEX,CRYX,CRYX,OPRT,,,NSPD,,SE,STOCKHOLM,
CREDIT SUISSE AG,CSAG,CSAG,OPRT,,ANGGYXNX0JLX3X63JN86,NSPD,CSA,CH,ZURICH,
CREDIT SUISSE AG - OHS,CSOT,CSAG,SGMT,,ANGGYXNX0JLX3X63JN86,NSPD,CSA OHS,CH,ZURICH,BILATERAL ORGANISED TRADING SYSTEM.
"CESKA SPORITELNA, A.S.",CSAS,CSAS,OPRT,,9KOGW2C2FCIOJQ7FF485,SINT,,CZ,PRAGUE,SYSTEMATIC INTERNALISER.
CREDIT SUISSE EQUITIES (AUSTRALIA) LIMITED,CSAU,CSAU,OPRT,CREDIT SUISSE EQUITIES (AUSTRALIA) LIMITED,549300PFVFUWK2NI0V37,NSPD,,AU,SYDNEY,REGISTERED BROKER DEALER IN AUSTRALIA
CROSSFINDER AUSTRALIA,CFAU,CSAU,SGMT,,549300JBVX7WY1MK3V11,NSPD,,AU,SYDNEY,EQUITIES ALTERNATIVE LIQUIDITY POOL AUSTRALIA
CREDIT SUISSE AKTIENGESELLSCHAFT,CSDA,CSDA,OPRT,,529900ENT1WBE443LZ43,NSPD,CSD,DE,FRANKFURT,
CREDIT SUISSE (DEUTSCHLAND) AG,CDSI,CSDA,SGMT,,529900ENT1WBE443LZ43,SINT,CSD SI,DE,FRANKFURT,SYSTEMATIC INTERNALISER.
CITADEL SECURITIES FI,CSEC,CSEC,OPRT,,549300WTVI4KO4GEJN54,SINT,,GB,LONDON,SYSTEMATIC INTERNALISER.
CREDIT SUISSE (EUROPE),CSEU,CSEU,OPRT,,DL6FFRRLF74S01HE2M14,NSPD,,GB,LONDON,
CREDIT SUISSE AES EUROPE BENCHMARK CROSS,CSBX,CSEU,SGMT,,DL6FFRRLF74S01HE2M14,NSPD,,GB,LONDON,
CREDIT SUISSE AES CROSSFINDER EUROPE,CSCF,CSEU,SGMT,,DL6FFRRLF74S01HE2M14,NSPD,,GB,LONDON,
CREDIT SUISSE (EUROPE),CSFB,CSEU,SGMT,,DL6FFRRLF74S01HE2M14,NSPD,,GB,LONDON,
CREDIT SUISSE SECURITIES (EUROPE) LIMITED,SICS,CSEU,SGMT,,DL6FFRRLF74S01HE2M14,SINT,CSSEL SI,GB,LONDON,SYSTEMATIC INTERNALISER.
CITADEL SECURITIES FI - EUROPE,CSGI,CSGI,OPRT,,549300J11TNGTWCC3R56,SINT,,IE,DUBLIN,SYSTEMATIC INTERNALISER.
CREDIT SUISSE SECURITIES (HONG KONG) LIMITED,CSHK,CSHK,OPRT,,549300I5DSQBF6DPYJ85,NSPD,,HK,HONG KONG,REGISTERED BROKER DEALER IN HONG KONG
CROSSFINDER HONG KONG,CFHK,CSHK,SGMT,,54930025BDY2HW6EF014,NSPD,,HK,HONG KONG,EQUITIES ALTERNATIVE LIQUIDITY POOL HONG KONG
CREDIT SUISSE INTERNATIONAL,CSIN,CSIN,OPRT,,E58DKGMJYYYJLN8C3868,NSPD,CSI,GB,LONDON,
CREDIT SUISSE INTERNATIONAL - SYSTEMATIC INTERNALISER,CSSI,CSIN,SGMT,,E58DKGMJYYYJLN8C3868,SINT,CSI SI,GB,LONDON,SYSTEMATIC INTERNALISER.
CREDIT SUISSE EQUITIES (JAPAN) LIMITED,CSJP,CSJP,OPRT,,,NSPD,,JP,TOKYO,REGISTERED BROKER DEALER IN JAPAN
CROSSFINDER JAPAN,CFJP,CSJP,SGMT,,549300YTJBCFG3MTGW39,NSPD,,JP,TOKYO,EQUITIES ALTERNATIVE LIQUIDITY POOL JAPAN
CREDIT SUISSE AG - LONDON BRANCH,CSLB,CSLB,OPRT,,ANGGYXNX0JLX3X63JN86,SINT,CSAGLB SI,GB,LONDON,SYSTEMATIC INTERNALISER.
"CREDIT SUISSE BANK (EUROPE), S.A.",CSMD,CSMD,OPRT,"CREDIT SUISSE BANK (EUROPE), S.A.",959800TMGPWX7NYM4R72,NSPD,CSEB,ES,MADRID,
"CREDIT SUISSE BANK (EUROPE), S.A. - SYSTEMATIC INTERNALISER",SIMD,CSMD,SGMT,"CREDIT SUISSE BANK (EUROPE), S.A.",959800TMGPWX7NYM4R72,SINT,,ES,MADRID,SYSTEMATIC INTERNALISER.
"?ESKOSLOVENSKÁ OBCHODNÍ BANKA, A.S.",CSOB,CSOB,OPRT,,Q5BP2UEQ48R75BOTCB92,NSPD,CSOB,CZ,PRAGUE,
"?ESKOSLOVENSKÁ OBCHODNÍ BANKA, A.S. - OTHER LIQUIDITY PROVIDER (OLP)",CELP,CSOB,SGMT,,Q5BP2UEQ48R75BOTCB92,NSPD,CSOB,CZ,PRAGUE,OTHER LIQUIDITY PROVIDER SEGMENT.
"?ESKOSLOVENSKÁ OBCHODNÍ BANKA, A.S. - SYSTEMATIC INTERNALISER",CESI,CSOB,SGMT,,Q5BP2UEQ48R75BOTCB92,SINT,CSOB,CZ,PRAGUE,SYSTEMATIC INTERNALISER.
CHINA STAINLESS STEEL EXCHANGE,CSSX,CSSX,OPRT,,,NSPD,,CN,WUXI,
CREDIT SUISSE (CH),CSZH,CSZH,OPRT,,549300CWR0W0BCS9Q144,NSPD,CSZ,CH,ZURICH,BILATERAL ORGANISED TRADING FACILITY.
CLEARTOKEN CCP LIMITED,CTCC,CTCC,OPRT,CLEARTOKEN CCP LIMITED,254900QS3YO22YXAEP14,OTHR,,GB,MILTON KEYNES,
CLEARTOKEN DEPOSITORY LTD,CTDD,CTDD,OPRT,CLEARTOKEN DEPOSITORY LTD,254900FURJSD1YM14868,OTHR,,GB,MILTON KEYNES,
CLEARTOKEN CSD LIMITED,CTSS,CTSS,OPRT,CLEARTOKEN CSD LTD,25490033PBCW5C5USD28,OTHR,,GB,MILTON KEYNES,
CUREX FX,CURX,CURX,OPRT,LMAX USA INC.,213800BGAOCIDFSAMI44,OTHR,,US,NEW YORK,FOREIGN EXCHANGE ELECTRONIC COMMUNICATION NETWORK (ECN).
D2X MARKET,D2XG,D2XG,OPRT,D2X GROUP NV,7245002DD3GNFXPGPP93,MLTF,,NL,AMSTERDAM,
D2X – CRYPTO DERIVATIVES,D2XC,D2XG,SGMT,D2X GROUP NV,7245002DD3GNFXPGPP93,MLTF,,NL,AMSTERDAM,
DAIWA CAPITAL MARKETS EUROPE LIMITED,DAIW,DAIW,OPRT,,MIM2K09LFYD4IB163W58,NSPD,,GB,LONDON,
GXG MARKETS A/S,DAMP,DAMP,OPRT,,,NSPD,,DK,HORSENS,MIC TO USE IS GXGR.
DEUTSCHE BOERSE AG - APA SERVICE,DAPA,DAPA,OPRT,,529900G3SW56SHYNPR95,APPA,,DE,FRANKFURT,APPROVED PUBLICATION ARRANGEMENT.
DASH ATS,DASH,DASH,OPRT,,549300VYG4AYVBIDN394,ATSS,,US,CHICAGO,ALTERNATIVE TRADING SYSTEM.
DANSKE BANK A/S,DASI,DASI,OPRT,DANSKE BANK A/S,MAES062Z21O4RZ2U7M96,SINT,,DK,COPENHAGEN,SYSTEMATIC INTERNALISER.
DANSKE BANK A/S - LONDON BRANCH,DAUK,DAUK,OPRT,DANSKE BANK A/S,MAES062Z21O4RZ2U7M96,SINT,,GB,LONDON,SYSTEMATIC INTERNALISER.
J AND E DAVY - IRISH GOVERNMENT BOND,DAVY,DAVY,OPRT,,63540061DPCBNMCGRY22,SINT,,IE,DUBLIN,SYSTEMATIC INTERNALISER.
DEUTSCHE BANK SECURITIES INC.,DBAB,DBAB,OPRT,,9J6MBOOO7BECTDTUZW19,NSPD,,US,NEW YORK,
DEUTSCHE BANK AG,DBAG,DBAG,OPRT,DEUTSCHE BANK AG,7LTWFZYICNSX8D621K86,NSPD,,DE,FRANKFURT,
DEUTSCHE BANK AG - SYSTEMATIC INTERNALISER,DBES,DBAG,SGMT,DEUTSCHE BANK AG,7LTWFZYICNSX8D621K86,SINT,DBES,DE,FRANKFURT,SYSTEMATIC INTERNALISER.
DEUTSCHE BANK AG - LONDON,DBLN,DBAG,SGMT,DEUTSCHE BANK AG,7LTWFZYICNSX8D621K86,SINT,,DE,FRANKFURT,SYSTEMATIC INTERNALISER.
DEUTSCHE BANK - MANUAL OTC,DBMO,DBAG,SGMT,DEUTSCHE BANK AG,7LTWFZYICNSX8D621K86,NSPD,MANUAL OTC,DE,FRANKFURT,DEUTSCHE BANK AG MARKET SEGMENT MARKET CODE FOR MANUAL OTC FILLS AS PER MMT2 STANDARD DEFINITION PROPOSED BY FIXPROTOCOL.ORG AND SUPPORTED BY EUROPEAN TDM'S(HTTP://WWW.BATSTRADING.CO.UK/BXTR/)
DEUTSCHE BOERSE DIGITAL EXCHANGE,DBDX,DBDX,OPRT,DEUTSCHE BOERSE AG,529900G3SW56SHYNPR95,MLTF,,DE,ESCHBORN,
DEUTSCHE BANK HONG KONG ATS,DBHK,DBHK,OPRT,,,ATSS,,HK,HONG KONG,ALTERNATIVE TRADING SYSTEM FOR TRADING ASIAN EXCHANGE TRADED EQUITY PRODUCTS.
DEUTSCHE BANK AG - LONDON,DBIX,DBIX,OPRT,DEUTSCHE BANK AG,,NSPD,,GB,LONDON,
DEUTSCHE BANK - CENTRAL RISK BOOK,DBCR,DBIX,SGMT,,,NSPD,CENTRAL RISK BOOK,GB,LONDON,DEUTSCHE BANK AG MARKET SEGMENT MARKET CODE FOR THE CENTRAL RISK BOOK AS PER MMT2 STANDARD DEFINITION PROPOSED BY FIXPROTOCOL.ORG AND SUPPORTED BY EUROPEAN TDM'S(HTTP://WWW.BATSTRADING.CO.UK/BXTR/)
DEUTSCHE BANK - CLOSE CROSS,DBCX,DBIX,SGMT,,,NSPD,CLX,GB,LONDON,DEUTSCHE BANK AG MARKET SEGMENT MARKET CODE FOR CLOSE CROSS AS PER MMT2 STANDARD DEFINITION PROPOSED BY FIXPROTOCOL.ORG AND SUPPORTED BY EUROPEAN TDM'S(HTTP://WWW.BATSTRADING.CO.UK/BXTR/)
DEUTSCHE BANK - DIRECT CAPITAL ACCESS,DBDC,DBIX,SGMT,,,NSPD,DCA,GB,LONDON,DEUTSCHE BANK AG MARKET SEGMENT MARKET CODE FOR DCA AS PER MMT2 STANDARD DEFINITION PROPOSED BY FIXPROTOCOL.ORG AND SUPPORTED BY EUROPEAN TDM'S(HTTP://WWW.BATSTRADING.CO.UK/BXTR/)
DEUTSCHE BANK - SUPERX EU,DBSE,DBIX,SGMT,,,NSPD,SUPERX EU,GB,LONDON,DEUTSCHE BANK AG MARKET SEGMENT MARKET CODE FOR SUPERX EU AS PER MMT2 STANDARD DEFINITION PROPOSED BY FIXPROTOCOL.ORG AND SUPPORTED BY EUROPEAN TDM'S(HTTP://WWW.BATSTRADING.CO.UK/BXTR/)
DEUTSCHE BANK LUXEMBOURG S.A.,DBLX,DBLX,OPRT,,529900FIAMEJDQ8C9097,NSPD,,LU,LUXEMBOURG,
DEUTSCHE BANK OFF EXCHANGE TRADING,DBOX,DBOX,OPRT,,,NSPD,,DE,FRANKFURT,DEUTSCHE BANK AG ELECTRONIC OFF EXCHANGE TRADING PLATFORM.
AUTOBAHN FX,AUTO,DBOX,SGMT,,213800QILIUD4ROSUO03,NSPD,,DE,FRANKFURT,DEUTSCHE BANK'S ELECTRONIC PLATFORM FOR TRADING FOREIGN EXCHANGE AND PRECIOUS METALS.
