MARKET NAME-INSTITUTION DESCRIPTION,MIC,OPERATING MIC,OPRT/SGMT,LEGAL ENTITY NAME,LEI,MARKET CATEGORY CODE,ACRONYM,ISO COUNTRY CODE (ISO 3166),CITY,COMMENTS
BOLSA DE VALORES DE LIMA,XLIM,XLIM,OPRT,,,NSPD,BVL,PE,LIMA,
EURONEXT - EURONEXT LISBON,XLIS,XLIS,OPRT,EURONEXT LISBON - SOCIEDADE GESTORA DE MERCADOS REGULAMENTADOS S.A.,529900K0OK4J5I7A5V66,RMKT,,PT,LISBON,
EURONEXT GROWTH LISBON,ALXL,XLIS,SGMT,EURONEXT LISBON - SOCIEDADE GESTORA DE MERCADOS REGULAMENTADOS S.A.,529900K0OK4J5I7A5V66,MLTF,,PT,LISBON,
EURONEXT LISBON – DARK BOOK FACILITY,DLIS,XLIS,SGMT,EURONEXT LISBON - SOCIEDADE GESTORA DE MERCADOS REGULAMENTADOS S.A.,529900K0OK4J5I7A5V66,OTHR,,PT,LISBON,MIC TO IDENTIFY DARK MIDPOINT PEGGED TRANSACTIONS. NOT TO BE USED FOR REGULATORY REPORTING PURPOSES.
EURONEXT ACCESS LISBON,ENXL,XLIS,SGMT,EURONEXT LISBON - SOCIEDADE GESTORA DE MERCADOS REGULAMENTADOS S.A.,529900K0OK4J5I7A5V66,MLTF,,PT,LISBON,
EURONEXT - MERCADO DE FUTUROS E OPÇÕES,MFOX,XLIS,SGMT,EURONEXT LISBON - SOCIEDADE GESTORA DE MERCADOS REGULAMENTADOS S.A.,529900K0OK4J5I7A5V66,RMKT,,PT,LISBON,
EURONEXT - MARKET WITHOUT QUOTATIONS LISBON,WQXL,XLIS,SGMT,EURONEXT LISBON - SOCIEDADE GESTORA DE MERCADOS REGULAMENTADOS S.A.,529900K0OK4J5I7A5V66,NSPD,,PT,LISBON,
AB NASDAQ VILNIUS,XLIT,XLIT,OPRT,AB NASDAQ VILNIUS,549300JGFH6L45DLE408,RMKT,,LT,VILNIUS,
FIRST NORTH LITHUANIA,FNLT,XLIT,SGMT,AB NASDAQ VILNIUS,549300JGFH6L45DLE408,MLTF,,LT,VILNIUS,FIRST NORTH IS OPERATED BY NASDAQ. FIRST NORTH IS A NORDIC ALTERNATIVE MTF MARKETPLACE FOR TRADING SHARES AND OTHER TYPES OF FINANCIAL INSTRUMENTS.
ALTERNATIVE MARKET-FIRST NORTH LITHUANIA,XVIA,XLIT,SGMT,,549300JGFH6L45DLE408,NSPD,,LT,VILNIUS,"MIC IS NOW FNLT. MARKET NOT USED YET, SO IMPACT OF MIC CHANGE IS LIMITED."
LJUBLJANA STOCK EXCHANGE (SEMI-OFFICIAL MARKET),XLJS,XLJS,OPRT,,74780000M03HFUUXFU21,NSPD,,SI,LJUBLJANA,LJSE SEMI-OFFICIAL MARKET DOES NOT EXIST SINCE 30 JUNE 2008
LJUBLJANA STOCK EXCHANGE (OFFICIAL MARKET),XLJU,XLJU,OPRT,,74780000M03HFUUXFU21,RMKT,,SI,LJUBLJANA,
SI ENTER,XLJM,XLJU,SGMT,,74780000M03HFUUXFU21,NSPD,,SI,LJUBLJANA,MULTILATERAL TRADING FACILITY OF THE LJUBLJANA STOCK EXCHANGE. NOT LIVE YET.
LIECHTENSTEINISCHE LANDESBANK AG,XLLB,XLLB,OPRT,LIECHTENSTEINISCHE LANDESBANK AKTIENGESELLSCHAFT,529900OE1FOAM50XLP72,SINT,,LI,VADUZ,SYSTEMATIC INTERNALISER.
LONDON METAL EXCHANGE,XLME,XLME,OPRT,,,NSPD,LME,GB,LONDON,
MALAYSIA DERIVATIVES EXCHANGE BHD,XLOF,XLOF,OPRT,,549300RY3Q0YLHMEXM25,NSPD,,MY,KUALA LUMPUR,MERGER BETWEEN THE MALAYSIA DERIVATIVES EXCHANGE AND THE BURSA MALAYSIA. XKLS IS THE VALID CODE TO USE
LONDON STOCK EXCHANGE,XLON,XLON,OPRT,LONDON STOCK EXCHANGE PLC,213800D1EI4B9WTWWD28,RMKT,LSE,GB,LONDON,
LONDON STOCK EXCHANGE - AIM MTF,AIMX,XLON,SGMT,LONDON STOCK EXCHANGE PLC,213800D1EI4B9WTWWD28,MLTF,LSE,GB,LONDON,DEACTIVATED JAN 2017 UNTIL MARKET LAUNCH. AIMX WAS INACTIVE FROM DECEMBER 2007 UNTIL DECEMBER 2016. REACTIVATED AUGUST 2017.
LONDON STOCK EXCHANGE - CURVEGLOBAL MARKETS,XLOD,XLON,SGMT,LONDON STOCK EXCHANGE PLC,213800D1EI4B9WTWWD28,NSPD,LSE,GB,LONDON,LONDON STOCK EXCHANGE DERIVATIVES MARKET (PART OF LONDON STOCK EXCHANGE REGULATED MARKET).
LONDON STOCK EXCHANGE - MTF,XLOM,XLON,SGMT,LONDON STOCK EXCHANGE PLC,213800D1EI4B9WTWWD28,MLTF,LSE,GB,LONDON,DEACTIVATED JAN 2017 UNTIL MARKET LAUNCH. REACTIVATED AUGUST 2017.
LIQUIDITY CUBE PTY LTD,XLQC,XLQC,OPRT,LIQUIDITY CUBE PTY LTD,984500CL44F9AA7FF209,OTFS,,AU,SYDNEY,
LIBYAN STOCK MARKET,XLSM,XLSM,OPRT,,,NSPD,,LY,TRIPOLI,REGISTERED MARKET FOR 7 EQUITIES
LONDON TRADED OPTIONS MARKET,XLTO,XLTO,OPRT,,,NSPD,,GB,LONDON,
LUSAKA STOCK EXCHANGE,XLUS,XLUS,OPRT,,,NSPD,,ZM,LUSAKA,
LUXEMBOURG STOCK EXCHANGE,XLUX,XLUX,OPRT,BOURSE DE LUXEMBOURG,22210053OF4F2MYKUV22,RMKT,,LU,LUXEMBOURG,
EURO MTF,EMTF,XLUX,SGMT,BOURSE DE LUXEMBOURG,22210053OF4F2MYKUV22,MLTF,,LU,LUXEMBOURG,
MERCADO ABIERTO ELECTRONICO S.A.,XMAB,XMAB,OPRT,MERCADO ABIERTO ELECTRONICO,2549002AX8NFZBS6AD20,NSPD,MAE,AR,BUENOS AIRES,
MID AMERICA COMMODITY EXCHANGE,XMAC,XMAC,OPRT,,,NSPD,,US,CHICAGO,
MACEDONIAN STOCK EXCHANGE,XMAE,XMAE,OPRT,,,NSPD,,MK,SKOPJE,
MALTA STOCK EXCHANGE,XMAL,XMAL,OPRT,MALTA STOCK EXCHANGE PLC,5299009CKES2S5E3YG94,RMKT,MSE,MT,VALLETTA,
INSTITUTIONAL FINANCIAL SECURITIES MARKET,IFSM,XMAL,SGMT,MALTA STOCK EXCHANGE PLC,5299009CKES2S5E3YG94,RMKT,IFSM,MT,VALLETTA,"PROFESSIONAL INVESTOR MARKET FOR ASSET BACKED SECURITIES, BONDS, DERIVATIVES AND SECURITISED PRODUCTS"
PROSPECTS,PROS,XMAL,SGMT,MALTA STOCK EXCHANGE PLC,5299009CKES2S5E3YG94,MLTF,,MT,VALLETTA,MTF.
BOLSA DE VALORES DE NICARAGUA,XMAN,XMAN,OPRT,,,NSPD,,NI,MANAGUA,
MAPUTO STOCK  EXCHANGE,XMAP,XMAP,OPRT,,,NSPD,,MZ,MAPUTO,
STOCK EXCHANGE OF MAURITIUS LTD,XMAU,XMAU,OPRT,,,NSPD,,MU,PORT LOUIS,
MARCHE INTERBANCAIRE DES DEVISES M.I.D.,XMDG,XMDG,OPRT,,,NSPD,,MG,ANTANANARIVO,
MADRAS STOCK EXCHANGE,XMDS,XMDS,OPRT,,549300QQN4L60N5ZNP62,NSPD,,IN,MADRAS,
MERCHANTS' EXCHANGE,XMER,XMER,OPRT,,,NSPD,ME,US,CHICAGO,
